"date","location","obs_date","mission","date_diff","secchi","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","max_temp_degK_3","min_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","max_temp_degK_5","min_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","max_temp_degK_7","min_temp_degK_7","tot_precip_m_7","mean_wind_mps_7","med_Blue_corr_scaled","med_Red_corr_scaled","med_Green_corr_scaled","med_Nir_corr_scaled","med_Swir1_corr_scaled","med_Swir2_corr_scaled","tot_sol_rad_KJpm2_3_scaled","max_temp_degK_3_scaled","min_temp_degK_3_scaled","tot_precip_m_3_scaled","mean_wind_mps_3_scaled","tot_sol_rad_KJpm2_5_scaled","max_temp_degK_5_scaled","min_temp_degK_5_scaled","tot_precip_m_5_scaled","mean_wind_mps_5_scaled","tot_sol_rad_KJpm2_7_scaled","max_temp_degK_7_scaled","min_temp_degK_7_scaled","tot_precip_m_7_scaled","mean_wind_mps_7_scaled"
2019-03-10,"E",2019-03-11,"LANDSAT_8",1,"3.50",0.0167322679618638,0.0119904432547078,0.0200698726478076,0.011707127883033,0.0118450560370291,0.025786841592549,0,1,25,0,361,368.68,"1_LC08_018050_20190310",7.75,9,9,122.17997725,57.10378381,67217.9718125,295.10937054952,293.989748636882,0.00381430927626525,0.987538483749561,104439.496875,295.10937054952,293.52213605245,0.00672889336448179,1.27234608354712,147882.637096924,295.867645899455,293.52213605245,0.00693860336633634,1.18648332395466,-0.690262635024269,-0.333999420082373,-0.533263991427847,-0.466777462302947,0.477618543657297,0.515220283033933,0.719614728276042,0.148644761671975,0.109481644566929,-0.416491721057396,1.5809164955705,0.427106967013197,0.0155514078827488,0.130834244038214,-0.508642730722357,2.75967285391577,0.573906297396534,0.332767208930823,0.293546650967238,-0.694949697018405,2.60024759482184
2019-03-10,"F",2019-03-11,"LANDSAT_8",1,"4.10",0.0419121381027414,0.0243724233663742,0.032749878469008,0.0205167971282653,0.0143054896332475,0.0235714513186521,0,1,26,0,360,365.653846153846,"1_LC08_018050_20190310",7.75,9,9,122.17997725,57.10378381,67217.9718125,295.10937054952,293.989748636882,0.00381430927626525,0.987538483749561,104439.496875,295.10937054952,293.52213605245,0.00672889336448179,1.27234608354712,147882.637096924,295.867645899455,293.52213605245,0.00693860336633634,1.18648332395466,0.998510164752801,0.754818028686381,0.25161308802023,0.234312188634359,0.545479772343134,0.467515296176029,0.719614728276042,0.148644761671975,0.109481644566929,-0.416491721057396,1.5809164955705,0.427106967013197,0.0155514078827488,0.130834244038214,-0.508642730722357,2.75967285391577,0.573906297396534,0.332767208930823,0.293546650967238,-0.694949697018405,2.60024759482184
2019-03-10,"P",2019-03-11,"LANDSAT_8",1,"4.25",0.02699448951478,0.0170284764644,0.0248662613159096,0.0151302510467658,0.0162896297346043,0.0339685429075062,0,1,26,0,250,258.615384615385,"1_LC08_018050_20190310",7.75,9,9,122.17997725,57.10378381,67217.9718125,295.10937054952,293.989748636882,0.00381430927626525,0.987538483749561,104439.496875,295.10937054952,293.52213605245,0.00672889336448179,1.27234608354712,147882.637096924,295.867645899455,293.52213605245,0.00693860336633634,1.18648332395466,-0.00199218220267046,0.109023296536339,-0.236373313079455,-0.19435903691477,0.600204348275547,0.691400506583788,0.719614728276042,0.148644761671975,0.109481644566929,-0.416491721057396,1.5809164955705,0.427106967013197,0.0155514078827488,0.130834244038214,-0.508642730722357,2.75967285391577,0.573906297396534,0.332767208930823,0.293546650967238,-0.694949697018405,2.60024759482184
2019-03-26,"B",2019-03-26,"LANDSAT_8",0,"2.80",0.0216704393006432,0.0129683509883291,0.0229296215019415,0.0119041108735432,0.0157383808573341,0.0370374107274728,0,1,25,0,178,185.16,"1_LC08_018050_20190326",30.52,9,9,112.69904059,61.3034811,73145.916,293.662233352661,292.987621943156,0.00080573558807373,1.04285823128835,115767.086,293.662233352661,292.987621943156,0.000942280610104262,1.19476940675972,154722.8869375,294.38178507487,292.987621943156,0.00286916740071774,1.18824912418032,-0.359067541844225,-0.248006469516288,-0.356248983687487,-0.451101194305471,0.585000350825366,0.75748380610222,1.26236820509579,-0.656920110064227,-0.386760875110149,-0.709569167258827,1.79227992280823,1.03426668576182,-0.803239860184384,-0.123674294560169,-0.848264797970011,2.44012930272858,0.839263431937072,-0.500399619135263,0.0448377490630769,-0.872115958561288,2.60826100510921
2019-03-26,"E",2019-03-26,"LANDSAT_8",0,"3.00",0.0283852928022918,0.0139047501473122,0.0226575598101595,0.0125595163042959,0.0182379847457675,0.0406182596556461,0,1,25,0,36,43.48,"1_LC08_018050_20190326",30.52,9,9,112.69904059,61.3034811,73145.916,293.662233352661,292.987621943156,0.00080573558807373,1.04285823128835,115767.086,293.662233352661,292.987621943156,0.000942280610104262,1.19476940675972,154722.8869375,294.38178507487,292.987621943156,0.00286916740071774,1.18824912418032,0.0912867246641857,-0.165663602372402,-0.373089274542759,-0.398942826961827,0.65394193549471,0.834591823173256,1.26236820509579,-0.656920110064227,-0.386760875110149,-0.709569167258827,1.79227992280823,1.03426668576182,-0.803239860184384,-0.123674294560169,-0.848264797970011,2.44012930272858,0.839263431937072,-0.500399619135263,0.0448377490630769,-0.872115958561288,2.60826100510921
2019-03-26,"F",2019-03-26,"LANDSAT_8",0,"3.00",0.0281832263475529,0.0132807444239404,0.0222833734601658,0.0109834300040399,0.0130934446923516,0.0306443853330892,0,1,26,0,55,63.8846153846154,"1_LC08_018050_20190326",30.52,9,9,112.69904059,61.3034811,73145.916,293.662233352661,292.987621943156,0.00080573558807373,1.04285823128835,115767.086,293.662233352661,292.987621943156,0.000942280610104262,1.19476940675972,154722.8869375,294.38178507487,292.987621943156,0.00286916740071774,1.18824912418032,0.0777344572934158,-0.220535950220758,-0.396250958669225,-0.524370668045822,0.512050356065424,0.619819938920546,1.26236820509579,-0.656920110064227,-0.386760875110149,-0.709569167258827,1.79227992280823,1.03426668576182,-0.803239860184384,-0.123674294560169,-0.848264797970011,2.44012930272858,0.839263431937072,-0.500399619135263,0.0448377490630769,-0.872115958561288,2.60826100510921
2019-03-26,"P",2019-03-26,"LANDSAT_8",0,"3.00",0.0258847940805061,0.0114417042292794,0.0226575598101595,0.00919757408321377,0.0182379847457675,0.0448818815285563,0.346153846153846,1,17,0,3,6.41176470588235,"1_LC08_018050_20190326",30.52,9,9,112.69904059,61.3034811,73145.916,293.662233352661,292.987621943156,0.00080573558807373,1.04285823128835,115767.086,293.662233352661,292.987621943156,0.000942280610104262,1.19476940675972,154722.8869375,294.38178507487,292.987621943156,0.00286916740071774,1.18824912418032,-0.0764176440876478,-0.382253142049173,-0.373089274542759,-0.666492360620592,0.65394193549471,0.926402294588063,1.26236820509579,-0.656920110064227,-0.386760875110149,-0.709569167258827,1.79227992280823,1.03426668576182,-0.803239860184384,-0.123674294560169,-0.848264797970011,2.44012930272858,0.839263431937072,-0.500399619135263,0.0448377490630769,-0.872115958561288,2.60826100510921
2019-04-11,"B",2019-04-11,"LANDSAT_8",0,"4.00",0.0244130318936385,0.0153437742395481,0.0303531617386201,0.0114442244568154,0.00524244846057356,0.015393347534064,0,1,25,0,1143,1149.68,"1_LC08_018050_20190411",21.36,9,9,101.07518246,64.58775369,64030.686,296.7681128184,294.222603480021,0.0253321038124632,0.531428394835975,110266.282,297.283924102783,294.222603480021,0.0256235329193437,0.588444964305396,156609.638,297.283924102783,294.222603480021,0.0265841133205136,0.630468236393776,-0.175126332218944,-0.0391220858544758,0.103259210732095,-0.487699799587842,0.295511998145422,0.291412539852152,0.427791728322629,1.07200192917069,0.22478889543826,1.67964449634961,-0.16177026421426,0.739423134086717,1.24591537421618,0.464361345057768,0.60030248781971,-0.0573618703519277,0.912457082345338,1.12691696966327,0.619473472545313,0.160333832220274,0.0769853605958215
2019-04-11,"E",2019-04-11,"LANDSAT_8",0,"5.00",0.0247084422051443,0.0143331499130894,0.0282562485961085,0.0124285834689287,0.0138279734508634,0.0327752018190176,0,1,25,0,725,732.48,"1_LC08_018050_20190411",21.36,9,9,101.07518246,64.58775369,64030.686,296.7681128184,294.222603480021,0.0253321038124632,0.531428394835975,110266.282,297.283924102783,294.222603480021,0.0256235329193437,0.588444964305396,156609.638,297.283924102783,294.222603480021,0.0265841133205136,0.630468236393776,-0.155313644700958,-0.127991991222972,-0.0265371857647473,-0.409362702361066,0.532309396640347,0.665703760681222,0.427791728322629,1.07200192917069,0.22478889543826,1.67964449634961,-0.16177026421426,0.739423134086717,1.24591537421618,0.464361345057768,0.60030248781971,-0.0573618703519277,0.912457082345338,1.12691696966327,0.619473472545313,0.160333832220274,0.0769853605958215
2019-04-11,"F",2019-04-11,"LANDSAT_8",0,"2.40",0.0271108552533575,0.0176654875494374,0.0329016180136268,0.0121173209042602,0.00341033398819017,0.0110498813109491,0,1,26,0,1001,1009.57692307692,"1_LC08_018050_20190411",21.36,9,9,101.07518246,64.58775369,64030.686,296.7681128184,294.222603480021,0.0253321038124632,0.531428394835975,110266.282,297.283924102783,294.222603480021,0.0256235329193437,0.588444964305396,156609.638,297.283924102783,294.222603480021,0.0265841133205136,0.630468236393776,0.00581227798859264,0.165039279294568,0.261005582968304,-0.434133548659454,0.244980441683125,0.197882744432869,0.427791728322629,1.07200192917069,0.22478889543826,1.67964449634961,-0.16177026421426,0.739423134086717,1.24591537421618,0.464361345057768,0.60030248781971,-0.0573618703519277,0.912457082345338,1.12691696966327,0.619473472545313,0.160333832220274,0.0769853605958215
