"date","location","secchi","mission","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","mean_temp_degK_3","min_temp_degK_3","max_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","mean_temp_degK_5","min_temp_degK_5","max_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","mean_temp_degK_7","min_temp_degK_7","max_temp_degK_7","tot_precip_m_7","mean_wind_mps_7","precip_m_prev","air_temp_degK_prev","wind_speed_mps_prev","solar_rad_KJpm2_prev","med_Blue_corr_scaled","med_Red_corr_scaled","med_Green_corr_scaled","med_Nir_corr_scaled","med_Swir1_corr_scaled","med_Swir2_corr_scaled","tot_sol_rad_KJpm2_3_scaled","mean_temp_degK_3_scaled","min_temp_degK_3_scaled","max_temp_degK_3_scaled","tot_precip_m_3_scaled","mean_wind_mps_3_scaled","tot_sol_rad_KJpm2_5_scaled","mean_temp_degK_5_scaled","min_temp_degK_5_scaled","max_temp_degK_5_scaled","tot_precip_m_5_scaled","mean_wind_mps_5_scaled","tot_sol_rad_KJpm2_7_scaled","mean_temp_degK_7_scaled","min_temp_degK_7_scaled","max_temp_degK_7_scaled","tot_precip_m_7_scaled","mean_wind_mps_7_scaled","precip_m_prev_scaled","air_temp_degK_prev_scaled","wind_speed_mps_prev_scaled"
2021-03-31,"F","2.00","LANDSAT_8",0.0396616916302859,0.0265049715143163,0.0576857154875484,0.0131477967617268,0.00494925337011552,0.0101983149528878,0,1,26,0,234,242.576923076923,"1_LC08_018050_20210331",40.65,9,9,108.96874073,62.62907021,71055.688,294.763792249892,294.452545801799,295.175184249878,0.00109386216718121,0.914265404807704,124382.18,295.31828473409,294.452545801799,296.699176152547,0.00109750437652067,0.86059504748538,176093.098,295.636630557832,294.452545801799,296.754841486613,0.00110135781661214,0.864481817295239,0.00052573084821006,294.663646697998,1.00665965156502,24564.59,0.847576392307831,0.942345032677535,1.79511134887926,-0.352126388220194,0.287425383203357,0.179545586236138,1.09651294079671,0.326336590702973,0.435691021943389,0.240317838028548,-0.75409074618956,1.13633477380639,1.51299530678451,0.667819437155814,0.642255834332389,0.93496389706865,-0.87736205509805,0.943198817197754,1.67935523873906,0.865911769324065,0.765627583818717,0.852248022045697,-0.991550518944124,1.04234144271784,-0.50658067801087,0.188599110237578,1.35032566313902
2021-03-31,"P","3.00","LANDSAT_8",0.029248356293313,0.0161967697438079,0.0316702743398532,0.0116414298235005,0.00648876888824598,0.0133492639072245,0.5,1,13,0,12,14.3076923076923,"1_LC08_018050_20210331",40.65,9,9,108.96874073,62.62907021,71055.688,294.763792249892,294.452545801799,295.175184249878,0.00109386216718121,0.914265404807704,124382.18,295.31828473409,294.452545801799,296.699176152547,0.00109750437652067,0.86059504748538,176093.098,295.636630557832,294.452545801799,296.754841486613,0.00110135781661214,0.864481817295239,0.00052573084821006,294.663646697998,1.00665965156502,24564.59,0.149170984589382,0.0358866268379547,0.184786893474296,-0.472005834486139,0.329886766758604,0.247396375430112,1.09651294079671,0.326336590702973,0.435691021943389,0.240317838028548,-0.75409074618956,1.13633477380639,1.51299530678451,0.667819437155814,0.642255834332389,0.93496389706865,-0.87736205509805,0.943198817197754,1.67935523873906,0.865911769324065,0.765627583818717,0.852248022045697,-0.991550518944124,1.04234144271784,-0.50658067801087,0.188599110237578,1.35032566313902
2021-03-31,"R","2.75","LANDSAT_8",0.0352943358458432,0.0187631705118252,0.0384350370022027,0.0126903750142715,0.00623214157021,0.0119866397825111,0,1,24,0,220,227.083333333333,"1_LC08_018050_20210331",40.65,9,9,108.96874073,62.62907021,71055.688,294.763792249892,294.452545801799,295.175184249878,0.00109386216718121,0.914265404807704,124382.18,295.31828473409,294.452545801799,296.699176152547,0.00109750437652067,0.86059504748538,176093.098,295.636630557832,294.452545801799,296.754841486613,0.00110135781661214,0.864481817295239,0.00052573084821006,294.663646697998,1.00665965156502,24564.59,0.55466496685364,0.261564742256499,0.603517549946631,-0.388528850597329,0.32280872769141,0.218054382406294,1.09651294079671,0.326336590702973,0.435691021943389,0.240317838028548,-0.75409074618956,1.13633477380639,1.51299530678451,0.667819437155814,0.642255834332389,0.93496389706865,-0.87736205509805,0.943198817197754,1.67935523873906,0.865911769324065,0.765627583818717,0.852248022045697,-0.991550518944124,1.04234144271784,-0.50658067801087,0.188599110237578,1.35032566313902
2021-04-16,"E","1.25","LANDSAT_8",0.0381041578407137,0.0381563474855842,0.0861691222618315,0.0232620772005847,0.026925203381812,0.0563121748926949,0,1,25,0,556,563.32,"1_LC08_018050_20210416",26.14,9,9,96.73216423,65.43996591,66760.59,296.974156909519,296.658260981242,297.424923578898,0.00143414740741221,0.528416072414846,115983.146,297.296106847127,296.658260981242,297.797009150187,0.00186457108374682,0.670848553314138,164878.072,296.991703760056,295.523684183757,297.797009150187,0.00741257141944018,0.678287204279169,0.000133770753791396,296.658260981242,0.540493260374776,19994.426,0.743115142752254,1.96691633268539,3.55819990238392,0.452786616453447,0.893544146832811,1.17253589964315,0.749146486099476,1.45193884060772,1.4754585747046,1.4333056843859,-0.723247173979903,-0.28664174116981,1.09386751489687,1.71283071013198,1.6866540442609,1.53822497023577,-0.835599924999985,0.191505668600387,1.26346069765397,1.59515378649138,1.25419063423092,1.42342807009066,-0.724803474225946,0.210202470835914,-0.593390753705101,1.20841052745038,-0.123580293395847
2021-04-16,"F","1.50","LANDSAT_8",0.0435295365734882,0.0417707760736799,0.083707089053951,0.031748855206949,0.0431349733337488,0.0862788646688241,0,1,26,0,365,372.769230769231,"1_LC08_018050_20210416",26.14,9,9,96.73216423,65.43996591,66760.59,296.974156909519,296.658260981242,297.424923578898,0.00143414740741221,0.528416072414846,115983.146,297.296106847127,296.658260981242,297.797009150187,0.00186457108374682,0.670848553314138,164878.072,296.991703760056,295.523684183757,297.797009150187,0.00741257141944018,0.678287204279169,0.000133770753791396,296.658260981242,0.540493260374776,19994.426,1.10698644078268,2.28475345393381,3.40580301385296,1.12817998985216,1.34062587557521,1.81782199608814,0.749146486099476,1.45193884060772,1.4754585747046,1.4333056843859,-0.723247173979903,-0.28664174116981,1.09386751489687,1.71283071013198,1.6866540442609,1.53822497023577,-0.835599924999985,0.191505668600387,1.26346069765397,1.59515378649138,1.25419063423092,1.42342807009066,-0.724803474225946,0.210202470835914,-0.593390753705101,1.20841052745038,-0.123580293395847
2021-04-16,"P","1.15","LANDSAT_8",0.0420433271986047,0.0427934383287953,0.0876949745664679,0.0258179963566044,0.0344865803059181,0.0732118087868581,0,1,26,0,589,595.923076923077,"1_LC08_018050_20210416",26.14,9,9,96.73216423,65.43996591,66760.59,296.974156909519,296.658260981242,297.424923578898,0.00143414740741221,0.528416072414846,115983.146,297.296106847127,296.658260981242,297.797009150187,0.00186457108374682,0.670848553314138,164878.072,296.991703760056,295.523684183757,297.797009150187,0.00741257141944018,0.678287204279169,0.000133770753791396,296.658260981242,0.540493260374776,19994.426,1.00730880332726,2.37468192236332,3.65264832121112,0.656191354932999,1.10209451348982,1.53644325372137,0.749146486099476,1.45193884060772,1.4754585747046,1.4333056843859,-0.723247173979903,-0.28664174116981,1.09386751489687,1.71283071013198,1.6866540442609,1.53822497023577,-0.835599924999985,0.191505668600387,1.26346069765397,1.59515378649138,1.25419063423092,1.42342807009066,-0.724803474225946,0.210202470835914,-0.593390753705101,1.20841052745038,-0.123580293395847
2021-04-16,"R","1.25","LANDSAT_8",0.0660617110345719,0.059791552709684,0.103623601033898,0.0420092655928008,0.044504148573333,0.0713334770137708,0,1,24,0,302,309.75,"1_LC08_018050_20210416",26.14,9,9,96.73216423,65.43996591,66760.59,296.974156909519,296.658260981242,297.424923578898,0.00143414740741221,0.528416072414846,115983.146,297.296106847127,296.658260981242,297.797009150187,0.00186457108374682,0.670848553314138,164878.072,296.991703760056,295.523684183757,297.797009150187,0.00741257141944018,0.678287204279169,0.000133770753791396,296.658260981242,0.540493260374776,19994.426,2.61818261204234,3.86942213088946,4.63861110369448,1.94472228396648,1.3783891032385,1.49599629789345,0.749146486099476,1.45193884060772,1.4754585747046,1.4333056843859,-0.723247173979903,-0.28664174116981,1.09386751489687,1.71283071013198,1.6866540442609,1.53822497023577,-0.835599924999985,0.191505668600387,1.26346069765397,1.59515378649138,1.25419063423092,1.42342807009066,-0.724803474225946,0.210202470835914,-0.593390753705101,1.20841052745038,-0.123580293395847
2021-05-02,"E","1.75","LANDSAT_8",0.0391266209740433,0.0275945098534593,0.0705291466075647,0.00866583719944635,0.00333706698247099,0.0159043960857304,0,1,25,0,432,439.8,"1_LC08_018050_20210502",30.75,9,9,84.114883,66.65151241,72572.082,297.937493006388,297.422180175781,298.207895278931,0.00102992057789564,0.55235936192674,121742.722,297.540265401204,296.699551900228,298.207895278931,0.00104464524578773,0.574938891322314,167970.846,297.4073294685,296.641359329224,298.207895278931,0.00112293594670021,0.60042300061946,0.000878334045410156,297.422180175781,0.674180619303561,23814.918,0.811690076565701,1.038154292914,2.59010425737752,-0.70880895796989,0.242959664110474,0.302417176248841,1.21915144816118,1.94250643692152,1.83556780313805,1.84849855145818,-0.759886434021893,-0.198341112384449,1.38128132594812,1.84183545718288,1.70620514599752,1.76400758699844,-0.880239914186111,-0.188446731144504,1.37815216813383,1.81882563648063,1.76397983386829,1.64862212183483,-0.990638506961364,-0.137787394876274,-0.428487242799394,1.59898905832898,0.299106966694805
2021-05-02,"F","1.75","LANDSAT_8",0.0300781259446997,0.0230448611900784,0.0647081925319109,0.00783262398960839,0.00205511320222174,0.0134344305259316,0,1,26,0,388,395.576923076923,"1_LC08_018050_20210502",30.75,9,9,84.114883,66.65151241,72572.082,297.937493006388,297.422180175781,298.207895278931,0.00102992057789564,0.55235936192674,121742.722,297.540265401204,296.699551900228,298.207895278931,0.00104464524578773,0.574938891322314,167970.846,297.4073294685,296.641359329224,298.207895278931,0.00112293594670021,0.60042300061946,0.000878334045410156,297.422180175781,0.674180619303561,23814.918,0.204822281021903,0.638077988011114,2.22979421502235,-0.775117594784806,0.207602091859844,0.249230306216044,1.21915144816118,1.94250643692152,1.83556780313805,1.84849855145818,-0.759886434021893,-0.198341112384449,1.38128132594812,1.84183545718288,1.70620514599752,1.76400758699844,-0.880239914186111,-0.188446731144504,1.37815216813383,1.81882563648063,1.76397983386829,1.64862212183483,-0.990638506961364,-0.137787394876274,-0.428487242799394,1.59898905832898,0.299106966694805
2021-05-02,"P","1.75","LANDSAT_8",0.0435554570304212,0.0324550901993182,0.0736720211521062,0.0140761709857231,0.0151137240509899,0.0387425093071849,0,1,26,0,531,538.692307692308,"1_LC08_018050_20210502",30.75,9,9,84.114883,66.65151241,72572.082,297.937493006388,297.422180175781,298.207895278931,0.00102992057789564,0.55235936192674,121742.722,297.540265401204,296.699551900228,298.207895278931,0.00104464524578773,0.574938891322314,167970.846,297.4073294685,296.641359329224,298.207895278931,0.00112293594670021,0.60042300061946,0.000878334045410156,297.422180175781,0.674180619303561,23814.918,1.10872488353005,1.46557257690294,2.78464440415467,-0.27824466320617,0.567771688994931,0.794200454313154,1.21915144816118,1.94250643692152,1.83556780313805,1.84849855145818,-0.759886434021893,-0.198341112384449,1.38128132594812,1.84183545718288,1.70620514599752,1.76400758699844,-0.880239914186111,-0.188446731144504,1.37815216813383,1.81882563648063,1.76397983386829,1.64862212183483,-0.990638506961364,-0.137787394876274,-0.428487242799394,1.59898905832898,0.299106966694805
