"date","location","obs_date","date_diff","secchi","mission","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","mean_temp_degK_3","min_temp_degK_3","max_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","mean_temp_degK_5","min_temp_degK_5","max_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","mean_temp_degK_7","min_temp_degK_7","max_temp_degK_7","tot_precip_m_7","mean_wind_mps_7","precip_m_prev","air_temp_degK_prev","wind_speed_mps_prev","solar_rad_KJpm2_prev","med_Blue_corr_scaled","med_Red_corr_scaled","med_Green_corr_scaled","med_Nir_corr_scaled","med_Swir1_corr_scaled","med_Swir2_corr_scaled","tot_sol_rad_KJpm2_3_scaled","mean_temp_degK_3_scaled","min_temp_degK_3_scaled","max_temp_degK_3_scaled","tot_precip_m_3_scaled","mean_wind_mps_3_scaled","tot_sol_rad_KJpm2_5_scaled","mean_temp_degK_5_scaled","min_temp_degK_5_scaled","max_temp_degK_5_scaled","tot_precip_m_5_scaled","mean_wind_mps_5_scaled","tot_sol_rad_KJpm2_7_scaled","mean_temp_degK_7_scaled","min_temp_degK_7_scaled","max_temp_degK_7_scaled","tot_precip_m_7_scaled","mean_wind_mps_7_scaled","precip_m_prev_scaled","air_temp_degK_prev_scaled","wind_speed_mps_prev_scaled","month"
2006-01-25,"E",2006-01-26,1,"3.60","LANDSAT_7",0.0261325,0.00886249999999999,0.0225575,0.0082575,0.003665,0.00330749999999999,0,1,21,0,42,48.3809523809524,"2_LE07_018050_20060125",31,9,NA,137.11593103,45.13627994,34900.296,291.514970355564,291.033001581828,291.845419565837,0.0139541178941727,0.72254473929649,60731.584,291.242177454631,290.318817774455,291.845419565837,0.016309770941632,0.712331474610071,70357.108,290.684984570458,288.554811477661,291.845419565837,0.037747639417546,0.854522468119488,0.00442962348461151,291.666489919027,0.704395524359278,11157.284,-0.0598044122939716,-0.609057138134711,-0.379282856207904,-0.741305181909227,0.252004385955589,0.0311625944712018,-1.82755778756121,-1.3280878129212,-1.17627191792078,-1.52538396930979,0.411567293756112,0.429286759063952,-1.66329065107832,-1.48585152688965,-1.31504952962649,-1.7321834866273,-0.0491464000659463,0.355842974847612,-2.24172537553923,-1.79885077059234,-1.92442173236247,-1.83845515997889,0.557325486865434,0.997831225964105,0.358041052858938,-1.34379476062164,0.394639225946807,"01"
2006-02-26,"E",2006-02-25,-1,"3.82","LANDSAT_7",0.0226125,0.0123275,0.03078,0.016755,0.00465499999999999,0.00121749999999998,0,1,25,0,204,212.64,"2_LE07_018050_20060226",4,9,NA,125.35155836,51.90507845,67394.352,293.147475984361,292.602914810181,293.559407552083,0.00070975752259983,0.426672276355371,110396.388,293.009051132202,292.602914810181,293.559407552083,0.000985010806914488,0.441167689666779,144582.5,292.460093361991,290.80003674825,293.559407552083,0.00706862145977993,0.647880652481231,0.000360071972863807,293.28010559082,0.671745754306859,24116.2,-0.295885068070066,-0.304360116660009,0.129679984721679,-0.0650585325740213,0.2793095798459,-0.0138423076933457,0.800402047453798,-0.496753489531262,-0.436219507389576,-0.616493410293501,-0.78890612440922,-0.661863414975252,0.815077651163657,-0.552297948529001,-0.233537792459398,-0.790344213986543,-0.883486647711485,-0.718390096914171,0.51082600888916,-0.843563695543985,-0.900339199668279,-0.899071052651035,-0.739340715562414,0.0743098349440965,-0.543270279102936,-0.518781273597129,0.291408509470477,"02"
2006-03-14,"E",2006-03-12,-2,"6.01","LANDSAT_7",0.02187,0.00704749999999998,0.0276725,0.00740499999999999,0.0018225,0.00113499999999999,0,1,25,0,356,363.36,"2_LE07_018050_20060314",30,9,NA,117.4558358,56.12804354,76324.1568125,294.332154591878,294.123561223348,294.545502344767,3.0144781462127e-06,0.507025958982104,127882.506875,293.840070343018,292.609975814819,294.545502344767,3.87874549545586e-06,0.561689933660169,171087.585,293.064663115002,291.075082143148,294.545502344767,0.000514377626778639,0.648589709658453,1.29488421407586e-06,294.545502344767,0.435741054506168,25205.7829375,-0.345683331397836,-0.768660339859555,-0.0626705203787988,-0.809148696891077,0.201186386215288,-0.0156188169893145,1.52260085149887,0.106530181435582,0.280608673496883,-0.0935887840314316,-0.852965559107239,-0.365526493616338,1.68766828393923,-0.113216780592725,-0.230194432141192,-0.248483471817335,-0.936903338080611,-0.24093334358069,1.49373234923078,-0.518210300996369,-0.774886672341656,-0.358622820808419,-1.01635957165564,0.0774787456923796,-0.622731088166247,0.128193967591028,-0.454781562100992,"03"
2006-03-30,"E",2006-04-03,4,"4.60","LANDSAT_7",0.03386,0.02077,0.0378475,0.01571,0.00866999999999998,0.009825,0,1,25,0,87,93.84,"2_LE07_018050_20060330",33,9,NA,107.79660445,60.01673057,57849.104,292.076139238146,291.59345181783,292.803928375244,0.00295517444599369,1.14248123491187,82617.478,291.745176569621,290.734568277995,292.803928375244,0.0167486391555727,1.13727258401089,123880.966,292.587914693923,290.734568277995,295.399160385132,0.0203415816106727,0.991177522958633,0.000592970848078522,292.803928375244,1.08027785405372,19643.326,0.458466402339486,0.438036594393428,0.567149717560819,-0.148221550938869,0.390047310623273,0.171506828852751,0.0284292177381941,-1.0423191484342,-0.912077349300459,-1.01710759013162,-0.585380755602542,1.97797356729633,-0.571142860545854,-1.22008457950002,-1.11819316044483,-1.20548128852793,-0.0252526874672408,2.039274976525,-0.256863248602285,-0.774775761591717,-0.930200397877939,0.109240899734871,-0.178351479938019,1.60856853460203,-0.491688576591927,-0.762242360354826,1.58308870485132,"04"
2006-09-22,"E",2006-09-22,0,"3.62","LANDSAT_7",0.016755,0.00594749999999999,0.0176075,0.00666249999999998,0.0015475,0.00107999999999999,0,1,23,0,289,296.869565217391,"2_LE07_018050_20060922",33,9,NA,117.0824247,60.80893638,63020.062,294.866220262316,294.709631601969,295.11065864563,0.0188109438914807,0.243615843846293,104341.56,294.74560508728,294.134234110514,295.11065864563,0.0412657450931988,0.255431922131474,147547.65,294.916658038185,294.134234110514,295.520569483439,0.0516085308092507,0.258418881115722,0.00578352325152309,294.778370539347,0.216380096979438,21938.126,-0.688738034322473,-0.865389553026125,-0.685681890881231,-0.868238209939785,0.193601610134646,-0.0168031565199605,0.446630932308684,0.378496853370761,0.556880500885982,0.206101313183313,0.851791686844728,-1.3369585428075,0.512930203028612,0.365235760506801,0.49153639254966,0.0620708632214923,1.30955503935712,-1.45419448958854,0.620784710589757,0.47845357764061,0.620440618721102,0.175781492988601,1.14316397191371,-1.66626854571741,0.657898469268415,0.247255404949334,-1.1483481255427,"09"
2018-04-08,"E",2018-04-09,1,"2.70","LANDSAT_8",0.0256502007448784,0.0263920653646837,0.0430233517917159,0.0430232139297256,0.065952950877816,0.128775059904886,0,1,25,0,110,117.32,"1_LC08_018050_20180408",27.54,9,9,103.20446507,64.10076244,66826.736,295.489287906223,294.870379765828,296.264406840007,0.000783491134484393,0.520018351187004,109957.352,295.61193707784,294.870379765828,296.56107711792,0.00104131400559027,0.423182886925519,156744.754,295.028732481457,293.468414306641,296.56107711792,0.0011435985562116,0.58937224295368,0,296.264406840007,0.142696929608198,24767.588,-0.0921514362796049,0.932416557208781,0.88752870596364,2.02541415398053,1.96996860388382,2.73291152190846,0.754496050070404,0.69578673527781,0.63265670558558,0.817908892796562,-0.782222884251943,-0.317611757399796,0.793168918654753,0.822974952675572,0.840098714567459,0.859078245961847,-0.880421280011538,-0.789638069418367,0.961847258941565,0.538767214535226,0.316749741907964,0.746051730136277,-0.989765189978263,-0.187175322773655,-0.623017875005622,1.00703978959787,-1.38131657058125,"04"
2018-04-08,"F",2018-04-09,1,"2.70","LANDSAT_8",0.0419908674283714,0.0341334851132744,0.0481925253725841,0.0531491033453428,0.0797424219609404,0.154292061332468,0,1,15,0,56,63.3333333333333,"1_LC08_018050_20180408",27.54,9,9,103.20446507,64.10076244,66826.736,295.489287906223,294.870379765828,296.264406840007,0.000783491134484393,0.520018351187004,109957.352,295.61193707784,294.870379765828,296.56107711792,0.00104131400559027,0.423182886925519,156744.754,295.028732481457,293.468414306641,296.56107711792,0.0011435985562116,0.58937224295368,0,296.264406840007,0.142696929608198,24767.588,1.00379041214585,1.61316332182091,1.20749432116301,2.83125102233593,2.35029606001468,3.28238049453092,0.754496050070404,0.69578673527781,0.63265670558558,0.817908892796562,-0.782222884251943,-0.317611757399796,0.793168918654753,0.822974952675572,0.840098714567459,0.859078245961847,-0.880421280011538,-0.789638069418367,0.961847258941565,0.538767214535226,0.316749741907964,0.746051730136277,-0.989765189978263,-0.187175322773655,-0.623017875005622,1.00703978959787,-1.38131657058125,"04"
2018-04-08,"R",2018-04-09,1,"2.60","LANDSAT_8",0.0360911262711573,0.0321591171424889,0.0453106712675154,0.0460290340001572,0.0614162947306436,0.112776642590084,0.166666666666667,1,20,0,302,309.25,"1_LC08_018050_20180408",27.54,9,9,103.20446507,64.10076244,66826.736,295.489287906223,294.870379765828,296.264406840007,0.000783491134484393,0.520018351187004,109957.352,295.61193707784,294.870379765828,296.56107711792,0.00104131400559027,0.423182886925519,156744.754,295.028732481457,293.468414306641,296.56107711792,0.0011435985562116,0.58937224295368,0,296.264406840007,0.142696929608198,24767.588,0.60810440041167,1.43954599426149,1.02911102502919,2.26462283313721,1.84484307286138,2.38841046638681,0.754496050070404,0.69578673527781,0.63265670558558,0.817908892796562,-0.782222884251943,-0.317611757399796,0.793168918654753,0.822974952675572,0.840098714567459,0.859078245961847,-0.880421280011538,-0.789638069418367,0.961847258941565,0.538767214535226,0.316749741907964,0.746051730136277,-0.989765189978263,-0.187175322773655,-0.623017875005622,1.00703978959787,-1.38131657058125,"04"
2018-04-24,"B",2018-04-25,1,"2.30","LANDSAT_8",0.031356892739528,0.0202407580708368,0.035579106064761,0.0249695268875627,0.0364437834112537,0.071845734571545,0,1,25,0,199,207.12,"1_LC08_018050_20180424",26.15,9,9,90.51007559,66.15407782,67304.79,295.801551818848,294.672707239787,296.418628056844,0.00210229256458661,0.777272642433845,108246.12,295.323268636068,294.124380111694,296.418628056844,0.0075297067428437,0.869829524995271,146262.522,294.589693523589,291.590730667114,296.418628056844,0.00767115750558745,0.840300984460157,0.000374495983123779,296.418628056844,0.760553814854791,23128.37,0.290587083154789,0.391497362227324,0.426738866648484,0.588668597003882,1.15607614002912,1.50702696835789,0.793158712280632,0.854803466333423,0.539474466751968,0.899689050596952,-0.662686265173364,0.63111818480569,0.707775182950448,0.67045275474089,0.486870559524541,0.780802248026757,-0.527167646308166,0.979781803910526,0.573127422965494,0.302495362412982,-0.53969127644066,0.667979780302116,-0.713874185720465,0.934272723388684,-0.540075695163621,1.08589040198346,0.572198227269948,"04"
2018-04-24,"E",2018-04-25,1,"2.30","LANDSAT_8",0.00890368665363864,0.0134758580956498,0.0293389926764693,0.0192658789536961,0.0453184720965983,0.0996950178159222,0,1,25,0,174,181.8,"1_LC08_018050_20180424",26.15,9,9,90.51007559,66.15407782,67304.79,295.801551818848,294.672707239787,296.418628056844,0.00210229256458661,0.777272642433845,108246.12,295.323268636068,294.124380111694,296.418628056844,0.0075297067428437,0.869829524995271,146262.522,294.589693523589,291.590730667114,296.418628056844,0.00767115750558745,0.840300984460157,0.000374495983123779,296.418628056844,0.760553814854791,23128.37,-1.21531280804764,-0.203378503000311,0.0404833679768302,0.134761823921804,1.40084896353365,2.10671800556649,0.793158712280632,0.854803466333423,0.539474466751968,0.899689050596952,-0.662686265173364,0.63111818480569,0.707775182950448,0.67045275474089,0.486870559524541,0.780802248026757,-0.527167646308166,0.979781803910526,0.573127422965494,0.302495362412982,-0.53969127644066,0.667979780302116,-0.713874185720465,0.934272723388684,-0.540075695163621,1.08589040198346,0.572198227269948,"04"
