"date","location","obs_date","mission","date_diff","secchi","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","max_temp_degK_3","min_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","max_temp_degK_5","min_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","max_temp_degK_7","min_temp_degK_7","tot_precip_m_7","mean_wind_mps_7"
2019-06-06,"D",2019-06-10,"LANDSAT_7",4,"2.50",0.0230525,0.0141975,0.0277825,0.017525,0.00911,0.0052325,0,1,25,0,240,247.08,"2_LE07_018050_20190606",28,9,NA,68.15685569,63.16683899,71063.312,297.615648905436,296.682812372843,0.00219778515486269,0.429672992869902,112945.776,297.615648905436,296.222815831502,0.0180520335593606,0.467136508979345,150917.256,297.615648905436,295.911908467611,0.0237063268580364,0.490882437397436
2019-06-06,"F",2019-06-10,"LANDSAT_7",4,"1.90",0.021265,0.0154075,0.02881375,0.0131525,0.00671749999999998,0.0052325,0,1,26,0,346,354.192307692308,"2_LE07_018050_20190606",28,9,NA,68.15685569,63.16683899,71063.312,297.615648905436,296.682812372843,0.00219778515486269,0.429672992869902,112945.776,297.615648905436,296.222815831502,0.0180520335593606,0.467136508979345,150917.256,297.615648905436,295.911908467611,0.0237063268580364,0.490882437397436
2019-06-06,"I",2019-06-11,"LANDSAT_7",5,"1.80",0.0190925,0.00985249999999998,0.024675,0.00902749999999999,0.0020425,0.002785,0,1,23,0,184,191.173913043478,"2_LE07_018050_20190606",28,9,NA,68.15685569,63.16683899,71063.312,297.615648905436,296.682812372843,0.00219778515486269,0.429672992869902,112945.776,297.615648905436,296.222815831502,0.0180520335593606,0.467136508979345,150917.256,297.615648905436,295.911908467611,0.0237063268580364,0.490882437397436
2019-06-06,"K",2019-06-11,"LANDSAT_7",5,"1.70",0.0170025,0.00979749999999998,0.0244275,0.008945,0.0019875,0.00275749999999999,0,1,23,0,117,123.521739130435,"2_LE07_018050_20190606",28,9,NA,68.15685569,63.16683899,71063.312,297.615648905436,296.682812372843,0.00219778515486269,0.429672992869902,112945.776,297.615648905436,296.222815831502,0.0180520335593606,0.467136508979345,150917.256,297.615648905436,295.911908467611,0.0237063268580364,0.490882437397436
2019-06-06,"L",2019-06-11,"LANDSAT_7",5,"1.90",0.0246475,0.01921625,0.03414875,0.024675,0.00767999999999999,0.0063325,0,1,14,1,184,189.928571428571,"2_LE07_018050_20190606",28,9,NA,68.15685569,63.16683899,71063.312,297.615648905436,296.682812372843,0.00219778515486269,0.429672992869902,112945.776,297.615648905436,296.222815831502,0.0180520335593606,0.467136508979345,150917.256,297.615648905436,295.911908467611,0.0237063268580364,0.490882437397436
2019-06-06,"M",2019-06-11,"LANDSAT_7",5,"1.60",0.021045,0.0123,0.02726,0.0162325,0.00407749999999998,0.00267499999999998,0,1,23,0,144,151.086956521739,"2_LE07_018050_20190606",28,9,NA,68.15685569,63.16683899,71063.312,297.615648905436,296.682812372843,0.00219778515486269,0.429672992869902,112945.776,297.615648905436,296.222815831502,0.0180520335593606,0.467136508979345,150917.256,297.615648905436,295.911908467611,0.0237063268580364,0.490882437397436
2019-07-16,"B",2019-07-16,"LANDSAT_8",0,"2.00",0.00731842240244574,0.0130464737581022,0.0163316933490494,0.0183428817665318,0.0218063005852764,0.042664702318793,0,1,18,0,135,144.555555555556,"1_LC08_018050_20190716",50.8,9,9,70.79836532,64.07856102,65206.648,297.190846761068,295.861461639404,0.00699823200701033,0.794019770384036,112927.042,297.20955657959,295.861461639404,0.00702104866492803,0.822546386267894,161918.716,297.20955657959,295.861461639404,0.0106655815734094,0.758974755959892
2019-08-01,"B",2019-08-01,"LANDSAT_8",0,"2.00",0.0288461857403505,0.011049259565138,0.0311638674436683,0.00946299777274757,0.00568228164974391,0.0176079711211607,0,1,25,0,80,87.4,"1_LC08_018050_20190801",29.53,9,9,78.49507055,64.47878328,61856,296.022654851278,295.615063985189,0.00452472470965404,1.05130602111036,101342.77,296.022654851278,294.737205505371,0.010009597766043,1.06079086511691,147253.5,296.193031311035,294.737205505371,0.012304330855784,1.05770105459146
2019-08-25,"B",2019-08-26,"LANDSAT_7",1,"2.50",0.0194775,0.01263,0.026875,0.0105125,0.00286749999999999,0.0016575,0,1,25,0,215,222.96,"2_LE07_018050_20190825",4,9,NA,94.30924474,61.80363762,76970.242,297.525661468506,297.061614354451,0.00205981819881984,0.578271117199165,121765.516,297.525661468506,295.732591629028,0.00804707699963458,0.512412825651125,161449.49,297.525661468506,295.032883326213,0.01307339138312,0.505161324404074
2019-08-25,"E",2019-08-26,"LANDSAT_7",1,"3.00",0.0229975,0.0150775,0.0293225,0.0149675,0.00542499999999998,0.00179499999999999,0,1,21,0,319,324.809523809524,"2_LE07_018050_20190825",4,9,NA,94.30924474,61.80363762,76970.242,297.525661468506,297.061614354451,0.00205981819881984,0.578271117199165,121765.516,297.525661468506,295.732591629028,0.00804707699963458,0.512412825651125,161449.49,297.525661468506,295.032883326213,0.01307339138312,0.505161324404074
