"date","location","obs_date","mission","date_diff","secchi","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","mean_temp_degK_3","min_temp_degK_3","max_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","mean_temp_degK_5","min_temp_degK_5","max_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","mean_temp_degK_7","min_temp_degK_7","max_temp_degK_7","tot_precip_m_7","mean_wind_mps_7","precip_m_prev","air_temp_degK_prev","wind_speed_mps_prev","solar_rad_KJpm2_prev","RN","BG","RB","GB","med_Blue_corr_scaled","med_Red_corr_scaled","med_Green_corr_scaled","med_Nir_corr_scaled","med_Swir1_corr_scaled","med_Swir2_corr_scaled","tot_sol_rad_KJpm2_3_scaled","mean_temp_degK_3_scaled","min_temp_degK_3_scaled","max_temp_degK_3_scaled","tot_precip_m_3_scaled","mean_wind_mps_3_scaled","tot_sol_rad_KJpm2_5_scaled","mean_temp_degK_5_scaled","min_temp_degK_5_scaled","max_temp_degK_5_scaled","tot_precip_m_5_scaled","mean_wind_mps_5_scaled","tot_sol_rad_KJpm2_7_scaled","mean_temp_degK_7_scaled","min_temp_degK_7_scaled","max_temp_degK_7_scaled","tot_precip_m_7_scaled","mean_wind_mps_7_scaled","precip_m_prev_scaled","air_temp_degK_prev_scaled","wind_speed_mps_prev_scaled","RN_scaled","BG_scaled","RB_scaled","GB_scaled"
2006-01-25,"E",2006-01-22,"LANDSAT_7",-3,"3.60",0.0261325,0.00886249999999999,0.0225575,0.0082575,0.003665,0.00330749999999999,0,1,21,0,42,48.3809523809524,"2_LE07_018050_20060125",31,9,NA,137.11593103,45.13627994,34900.296,291.514970355564,291.033001581828,291.845419565837,0.0139541178941727,0.72254473929649,60731.584,291.242177454631,290.318817774455,291.845419565837,0.016309770941632,0.712331474610071,70357.108,290.684984570458,288.554811477661,291.845419565837,0.037747639417546,0.854522468119488,0.00442962348461151,291.666489919027,0.704395524359278,11157.284,1.07326672721768,1.15848387454283,0.33913708983067,0.86319716827705,0.241473213856423,0.0950951458002763,0.133826103870842,0.0779477357513922,0.776781700538546,0.443827014610774,0.294186356585654,0.344449092176775,0.372877400508267,0.322009726413751,0.14465832477481,0.390861373820034,0.261639466998468,0.320659631998715,0.320340082043516,0.292437673017616,0.118873010900406,0.408938036606123,0.146666071384233,0.247146117994715,0.18972960061804,0.198776023695875,0.224559385628671,0.588723741088427,0.090550807414373,0.337326254396018,0.403230203200841,0.559545294079099,0.525957341139732,0.124550135749563,0.588379389334722
2006-02-26,"E",2006-02-25,"LANDSAT_7",-1,"3.82",0.0226125,0.0123275,0.03078,0.016755,0.00465499999999999,0.00121749999999998,0,1,25,0,204,212.64,"2_LE07_018050_20060226",4,9,NA,125.35155836,51.90507845,67394.352,293.147475984361,292.602914810181,293.559407552083,0.00070975752259983,0.426672276355371,110396.388,293.009051132202,292.602914810181,293.559407552083,0.000985010806914488,0.441167689666779,144582.5,292.460093361991,290.80003674825,293.559407552083,0.00706862145977993,0.647880652481231,0.000360071972863807,293.28010559082,0.671745754306859,24116.2,0.73575052223217,0.734649122807018,0.545163073521282,1.36119402985075,0.221719108337323,0.121375260987693,0.191985994942618,0.136693712207929,0.778768891762353,0.441097940364693,0.763578770798971,0.475150706909532,0.489010257181092,0.462342329680374,0.00735785199711456,0.218283353980367,0.749817894426086,0.463509353829343,0.489459100496497,0.419882705206069,0.00715263665605716,0.231984381827339,0.693872214132764,0.3943897440437,0.355970477441012,0.343091247325329,0.0419006722586215,0.420330316666737,0.00736062737236537,0.463725077860055,0.384183969969395,0.553582857391976,0.426309602495173,0.136622804528251,0.591859573857886
2006-03-14,"E",2006-03-12,"LANDSAT_7",-2,"6.01",0.02187,0.00704749999999998,0.0276725,0.00740499999999999,0.0018225,0.00113499999999999,0,1,25,0,356,363.36,"2_LE07_018050_20060314",30,9,NA,117.4558358,56.12804354,76324.1568125,294.332154591878,294.123561223348,294.545502344767,3.0144781462127e-06,0.507025958982104,127882.506875,293.840070343018,292.609975814819,294.545502344767,3.87874549545586e-06,0.561689933660169,171087.585,293.064663115002,291.075082143148,294.545502344767,0.000514377626778639,0.648589709658453,1.29488421407586e-06,294.545502344767,0.435741054506168,25205.7829375,0.951721809588115,0.790315294967929,0.322245084590763,1.26531778692273,0.217552226704388,0.0813293711782961,0.170005835440576,0.0720541264628723,0.773083316872017,0.440990213749716,0.892574136578887,0.569998408632882,0.601498647469794,0.543078746992198,3.12502274961793e-05,0.265152465409998,0.921697079013423,0.530696309302116,0.48998191111049,0.49320462088048,0,0.310633717546084,0.889273611623153,0.444538243706078,0.376335377218736,0.426118953276595,0.00287759312037492,0.420908130822185,2.64701529373841e-05,0.56284698384426,0.246510701554193,0.557398126431137,0.439397269686491,0.1235603014548,0.591189555545475
2006-09-22,"E",2006-09-19,"LANDSAT_7",-3,"3.60",0.016755,0.00594749999999999,0.0176075,0.00666249999999998,0.0015475,0.00107999999999999,0,1,23,0,289,296.869565217391,"2_LE07_018050_20060922",33,9,NA,117.0824247,60.80893638,63020.062,294.866220262316,294.709631601969,295.11065864563,0.0188109438914807,0.243615843846293,104341.56,294.74560508728,294.134234110514,295.11065864563,0.0412657450931988,0.255431922131474,147547.65,294.916658038185,294.134234110514,295.520569483439,0.0516085308092507,0.258418881115722,0.00578352325152309,294.778370539347,0.216380096979438,21938.126,0.89268292682927,0.951583132187988,0.354968666069829,1.05088033422859,0.188847042121945,0.0729864774680052,0.0988134604162616,0.066920982889,0.772531319309848,0.440918396006398,0.700390028108026,0.612756757681282,0.644852653316337,0.589350865343709,0.195007642289658,0.111509251627972,0.690302177594007,0.603907760674028,0.602840980933159,0.535227297546229,0.300806740846956,0.110778584027355,0.715731961187664,0.598159502985782,0.602840980933159,0.508218147261836,0.307085253674909,0.10295601776693,0.118227362200096,0.581088171217212,0.118546555031274,0.55635516732183,0.477312931932834,0.125477831240957,0.589690988061146
2006-10-24,"E",2006-10-21,"LANDSAT_7",-3,"4.40",0.02495,0.00858749999999999,0.02165,0.0126575,0.00690999999999999,0.0052325,0,1,25,0,13,21.04,"2_LE07_018050_20061024",33,9,NA,137.26732056,54.7940545,44632.124,294.057805803087,293.804971694946,294.372519810994,0.0177576057253077,0.293044496197715,79841.836,294.481084696452,293.804971694946,295.273732503255,0.030488031654464,0.234074253102726,121454.508,295.022063573201,293.804971694946,296.542002360026,0.0318505927517307,0.374320789902586,0.00555278658862335,293.804971694946,0.354301953952942,14736.524,0.678451510961879,1.15242494226328,0.344188376753507,0.867735470941884,0.234837069033601,0.0930094223727036,0.127407119237503,0.108366364337301,0.783295271772135,0.446340635626902,0.434767336677174,0.548033504461993,0.577931286311758,0.528915818500973,0.184087988629315,0.140340251516763,0.449483010468517,0.582521588743357,0.578461746748559,0.547352792707742,0.222235189430239,0.0968411860338034,0.523367499360238,0.606902794245124,0.578461746748559,0.59422126699781,0.189449169319146,0.197405049088822,0.113510620201989,0.504839241038675,0.19900322751056,0.552570634210133,0.524532826283917,0.124846130035493,0.588411104656473
2018-04-08,"E",2018-04-09,"LANDSAT_8",1,"2.70",0.0256502007448784,0.0263920653646837,0.0430233517917159,0.0430232139297256,0.065952950877816,0.128775059904886,0,1,25,0,110,117.32,"1_LC08_018050_20180408",27.54,9,9,103.20446507,64.10076244,66826.736,295.489287906223,294.870379765828,296.264406840007,0.000783491134484393,0.520018351187004,109957.352,295.61193707784,294.870379765828,296.56107711792,0.00104131400559027,0.423182886925519,156744.754,295.028732481457,293.468414306641,296.56107711792,0.0011435985562116,0.58937224295368,0,296.264406840007,0.142696929608198,24767.588,0.613437792160127,0.596192525144387,1.02892237090789,1.67731052944318,0.238766568862828,0.228047237277689,0.278586421401679,0.318294403831458,0.901810053400468,0.607659687555814,0.755379282111375,0.662640779953469,0.656743847770082,0.68381388896484,0.00812222713395292,0.272730735105709,0.74550240565331,0.673949714117246,0.657346647162683,0.643074394708552,0.00756309752930516,0.220248018963813,0.783535062911897,0.607455973992799,0.553542378493634,0.595827333069006,0.00662388922261495,0.372651528095414,0,0.697493361939954,0.0755635022033016,0.551422125852834,0.393757088098948,0.164970033656058,0.594068711774783
2018-04-08,"F",2018-04-09,"LANDSAT_8",1,"2.70",0.0419908674283714,0.0341334851132744,0.0481925253725841,0.0531491033453428,0.0797424219609404,0.154292061332468,0,1,15,0,56,63.3333333333333,"1_LC08_018050_20180408",27.54,9,9,103.20446507,64.10076244,66826.736,295.489287906223,294.870379765828,296.264406840007,0.000783491134484393,0.520018351187004,109957.352,295.61193707784,294.870379765828,296.56107711792,0.00104131400559027,0.423182886925519,156744.754,295.028732481457,293.468414306641,296.56107711792,0.0011435985562116,0.58937224295368,0,296.264406840007,0.142696929608198,24767.588,0.64222127872013,0.871314941554386,0.812878780642,1.1476906366555,0.330469765998671,0.286761639213362,0.315149336864665,0.388297965021378,0.929489160387662,0.640979204987988,0.755379282111375,0.662640779953469,0.656743847770082,0.68381388896484,0.00812222713395292,0.272730735105709,0.74550240565331,0.673949714117246,0.657346647162683,0.643074394708552,0.00756309752930516,0.220248018963813,0.783535062911897,0.607455973992799,0.553542378493634,0.595827333069006,0.00662388922261495,0.372651528095414,0,0.697493361939954,0.0755635022033016,0.551930604301316,0.458441087071197,0.152310355200376,0.590367533923552
2018-04-08,"R",2018-04-09,"LANDSAT_8",1,"2.60",0.0360911262711573,0.0321591171424889,0.0453106712675154,0.0460290340001572,0.0614162947306436,0.112776642590084,0.166666666666667,1,20,0,302,309.25,"1_LC08_018050_20180408",27.54,9,9,103.20446507,64.10076244,66826.736,295.489287906223,294.870379765828,296.264406840007,0.000783491134484393,0.520018351187004,109957.352,295.61193707784,294.870379765828,296.56107711792,0.00104131400559027,0.423182886925519,156744.754,295.028732481457,293.468414306641,296.56107711792,0.0011435985562116,0.58937224295368,0,296.264406840007,0.142696929608198,24767.588,0.698670259783837,0.796525967538074,0.891053299386483,1.25545185060423,0.297360644022823,0.271787146372211,0.294765229739636,0.339074613903852,0.892703787459973,0.586769319770219,0.755379282111375,0.662640779953469,0.656743847770082,0.68381388896484,0.00812222713395292,0.272730735105709,0.74550240565331,0.673949714117246,0.657346647162683,0.643074394708552,0.00756309752930516,0.220248018963813,0.783535062911897,0.607455973992799,0.553542378493634,0.595827333069006,0.00662388922261495,0.372651528095414,0,0.697493361939954,0.0755635022033016,0.552927811163308,0.440857460184184,0.156891209784003,0.591120608767832
2018-04-24,"B",2018-04-25,"LANDSAT_8",1,"2.30",0.031356892739528,0.0202407580708368,0.035579106064761,0.0249695268875627,0.0364437834112537,0.071845734571545,0,1,25,0,199,207.12,"1_LC08_018050_20180424",26.15,9,9,90.51007559,66.15407782,67304.79,295.801551818848,294.672707239787,296.418628056844,0.00210229256458661,0.777272642433845,108246.12,295.323268636068,294.124380111694,296.418628056844,0.0075297067428437,0.869829524995271,146262.522,294.589693523589,291.590730667114,296.418628056844,0.00767115750558745,0.840300984460157,0.000374495983123779,296.418628056844,0.760553814854791,23128.37,0.810618405466012,0.881328853019867,0.645496294513953,1.13465024612948,0.270792306313769,0.181392961885051,0.225931326164071,0.193483403662869,0.842577367934411,0.5333226753003,0.762285004228193,0.68764124358613,0.642121208301683,0.696440736417305,0.0217938620617959,0.422783348104276,0.728681911471479,0.650611199806985,0.60211137155921,0.63248247380845,0.0548646969330098,0.511716715705998,0.706257710976656,0.57103810009031,0.414515003949058,0.583833335287253,0.0454880901817699,0.577134584622902,0.00765548443634181,0.709573921581352,0.435990124539937,0.554905445780583,0.460795456618373,0.14250211024904,0.59027640289686
2018-04-24,"E",2018-04-25,"LANDSAT_8",1,"2.30",0.00890368665363864,0.0134758580956498,0.0293389926764693,0.0192658789536961,0.0453184720965983,0.0996950178159222,0,1,25,0,174,181.8,"1_LC08_018050_20180424",26.15,9,9,90.51007559,66.15407782,67304.79,295.801551818848,294.672707239787,296.418628056844,0.00210229256458661,0.777272642433845,108246.12,295.323268636068,294.124380111694,296.418628056844,0.0075297067428437,0.869829524995271,146262.522,294.589693523589,291.590730667114,296.418628056844,0.00767115750558745,0.840300984460157,0.000374495983123779,296.418628056844,0.760553814854791,23128.37,0.699467599066613,0.303476221962441,1.51351441485676,3.29515107817495,0.14478577158003,0.130084924199837,0.181793373602372,0.154052233643533,0.860391209822829,0.569687633039086,0.762285004228193,0.68764124358613,0.642121208301683,0.696440736417305,0.0217938620617959,0.422783348104276,0.728681911471479,0.650611199806985,0.60211137155921,0.63248247380845,0.0548646969330098,0.511716715705998,0.706257710976656,0.57103810009031,0.414515003949058,0.583833335287253,0.0454880901817699,0.577134584622902,0.00765548443634181,0.709573921581352,0.435990124539937,0.552941896664749,0.3249365924765,0.193366059897911,0.605374774268531
