date,location,secchi
1/4/19,E,5.30
1/4/19,E,5.30
1/4/19,F,5.00
1/4/19,F,5.00
1/4/19,P,5.00
1/4/19,P,5.00
1/4/19,R,3.50
1/4/19,R,3.50
1/7/19,A,1.50
1/7/19,B,4.50
1/7/19,C,4.50
1/7/19,D,5.00
1/7/19,E,4.80
1/7/19,F,4.30
1/7/19,G,5.00
1/7/19,H,4.60
1/7/19,I,4.00
1/9/19,J,4.50
1/9/19,K,4.50
1/9/19,M,4.50
1/9/19,N,5.00
1/9/19,O,4.50
1/9/19,P,4.50
1/9/19,Q,4.50
1/9/19,R,5.00
1/22/19,B,4.00
1/22/19,B,4.00
1/22/19,E,4.00
1/22/19,E,4.00
1/22/19,F,4.25
1/22/19,F,4.25
1/22/19,P,4.20
1/22/19,P,4.20
1/22/19,R,5.00
1/22/19,R,5.00
2/6/19,B,5.00
2/6/19,B,5.00
2/6/19,E,4.25
2/6/19,E,4.25
2/6/19,F,5.00
2/6/19,F,5.00
2/6/19,P,5.00
2/6/19,P,5.00
2/6/19,R,5.50
2/6/19,R,5.50
3/11/19,B,3.50
3/11/19,B,3.50
3/11/19,E,3.50
3/11/19,E,3.50
3/11/19,F,4.10
3/11/19,F,4.10
3/11/19,P,4.25
3/11/19,P,4.25
3/26/19,B,2.80
3/26/19,B,2.80
3/26/19,E,3.00
3/26/19,E,3.00
3/26/19,F,3.00
3/26/19,F,3.00
3/26/19,P,3.00
3/26/19,P,3.00
3/26/19,R,3.00
3/26/19,R,3.00
4/11/19,B,4.00
4/11/19,B,4.00
4/11/19,E,5.00
4/11/19,E,5.00
4/11/19,F,2.40
4/11/19,F,2.40
4/11/19,P,4.50
4/11/19,P,4.50
4/11/19,R,4.00
4/11/19,R,4.00
4/26/19,B,4.10
4/26/19,B,4.10
4/26/19,E,3.90
4/26/19,E,3.90
4/26/19,F,4.25
4/26/19,F,4.25
4/26/19,P,3.40
4/26/19,P,3.40
4/26/19,R,3.40
4/26/19,R,3.40
5/13/19,B,2.75
5/13/19,B,2.75
5/13/19,E,2.50
5/13/19,E,2.50
5/13/19,F,3.00
5/13/19,F,3.00
5/13/19,P,2.75
5/13/19,P,2.75
5/13/19,R,2.50
5/13/19,R,2.50
5/29/19,B,1.75
5/29/19,B,1.75
5/29/19,E,1.50
5/29/19,E,1.50
5/29/19,F,1.50
5/29/19,F,1.50
5/29/19,P,2.00
5/29/19,P,2.00
5/29/19,R,2.10
5/29/19,R,2.10
6/10/19,A,2.10
6/10/19,B,2.10
6/10/19,C,2.00
6/10/19,D,2.50
6/10/19,E,1.80
6/10/19,F,1.90
6/11/19,I,1.80
6/11/19,J,1.90
6/11/19,K,1.70
6/11/19,L,1.90
6/11/19,M,1.60
6/11/19,R,1.25
6/12/19,G,2.30
6/12/19,H,2.15
6/12/19,N,2.25
6/12/19,O,2.10
6/12/19,P,2.00
6/12/19,Q,2.00
7/1/19,B,3.00
7/1/19,B,3.00
7/1/19,E,3.40
7/1/19,E,3.40
7/1/19,F,3.50
7/1/19,F,3.50
7/1/19,P,3.20
7/1/19,P,3.20
7/1/19,R,3.00
7/1/19,R,3.00
7/16/19,B,2.00
7/16/19,B,2.00
7/16/19,E,2.00
7/16/19,E,2.00
7/16/19,F,2.00
7/16/19,F,2.00
7/16/19,P,2.00
7/16/19,P,2.00
7/16/19,R,2.50
7/16/19,R,2.50
8/1/19,B,2.00
8/1/19,B,2.00
8/1/19,E,2.75
8/1/19,E,2.75
8/1/19,F,2.60
8/1/19,F,2.60
8/1/19,P,2.60
8/1/19,P,2.60
8/1/19,R,3.50
8/1/19,R,3.50
