med_Aerosol,med_Blue,med_Green,med_Red,med_Nir,med_Swir1,med_Swir2,med_SurfaceTemp,med_temp_qa,min_Aerosol,min_Blue,min_Green,min_Red,min_Nir,min_Swir1,min_Swir2,min_SurfaceTemp,min_temp_qa,max_Aerosol,max_Blue,max_Green,max_Red,max_Nir,max_Swir1,max_Swir2,max_SurfaceTemp,max_temp_qa,Q1_Aerosol,Q1_Blue,Q1_Green,Q1_Red,Q1_Nir,Q1_Swir1,Q1_Swir2,Q1_SurfaceTemp,Q3_Aerosol,Q3_Blue,Q3_Green,Q3_Red,Q3_Nir,Q3_Swir1,Q3_Swir2,Q3_SurfaceTemp,sd_Aerosol,sd_Blue,sd_Green,sd_Red,sd_Nir,sd_Swir1,sd_Swir2,sd_SurfaceTemp,sd_temp_qa,kurt_SurfaceTemp,prop_clouds,prop_medHighAero,prop_hillShadow,pCount_dswe1,pCount_dswe3,min_cloud_dist,mean_cloud_dist,system:index
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20130405_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,117.76,1.0,0,0,,,1_LC08_018050_20130405_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,85.33333333333333,1.0,0,0,,,1_LC08_018050_20130405_3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,75.85185185185185,1.0,0,0,,,1_LC08_018050_20130405_4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20130405_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20130405_6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20130405_7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,106.66666666666667,1.0,0,0,,,1_LC08_018050_20130405_8
0.030078749999999987,0.0234375,0.036953749999999994,-0.006784999999999999,-0.010057500000000011,0.007968749999999997,0.00868374999999999,299.79278834,675.0,0.024097499999999994,0.018185000000000007,0.034135,-0.010332499999999994,-0.011927500000000008,0.006855,0.00800999999999999,299.62872338,658,0.0382875,0.029707499999999998,0.04043250000000001,-0.002082500000000015,-0.0062349999999999905,0.010732500000000006,0.010594999999999993,299.90216498,692,0.025334999999999996,0.020549999999999985,0.03534499999999999,-0.008215,-0.011487500000000012,0.007404999999999995,0.008449999999999985,299.72784595999997,0.03539999999999999,0.02803,0.03930500000000001,-0.0036225000000000007,-0.00862750000000001,0.008917499999999995,0.009935,299.85773072,0.004925949224799839,0.0038869144557051195,0.0019248556797211824,0.0027480188654645334,0.0017242859824387327,0.001013129748726739,8.406064266592388E-4,0.08045693356148197,13.134508217762399,-0.8353025539726051,0.44,128.0,1.0,14,0,3,5.357142857142857,1_LC08_018050_20130405_9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,77.91304347826087,1.0,0,0,,,1_LC08_018050_20130405_10
0.030422500000000005,0.02254375,0.029363749999999994,-0.006193750000000012,-0.004117499999999996,0.0041049999999999975,0.005163749999999995,300.05939390000003,432.0,0.02838750000000001,0.0204125,0.027205000000000007,-0.007775000000000004,-0.00711500000000001,0.003087499999999993,0.004462500000000008,300.00470558,427,0.0322925,0.024400000000000005,0.031027499999999986,-0.004832500000000017,-0.0013674999999999937,0.00492999999999999,0.005479999999999985,300.09699212,464,0.029459999999999986,0.021485000000000004,0.028414999999999996,-0.007142499999999996,-0.005767500000000009,0.003527499999999989,0.0048749999999999905,300.03546775999996,0.031192499999999984,0.023464999999999986,0.03053249999999999,-0.005464999999999998,-0.002714999999999995,0.004517500000000008,0.0053425,300.07306598,0.0011131813326515276,0.0010824404680460657,0.0011056042059133446,8.986084378805807E-4,0.001706942370414759,5.763015883285918E-4,2.891584530093214E-4,0.025172200134062572,10.043396959455169,-0.5836758611713573,0.0,128.0,1.0,26,0,44,52.34615384615385,1_LC08_018050_20130405_11
0.02082500000000001,0.021815,0.05030499999999999,0.008724999999999983,0.03322749999999999,0.022722500000000007,0.016947500000000004,301.05061969999997,625.0,0.02082500000000001,0.021815,0.05030499999999999,0.008724999999999983,0.03322749999999999,0.022722500000000007,0.016947500000000004,301.05061969999997,625,0.02082500000000001,0.021815,0.05030499999999999,0.008724999999999983,0.03322749999999999,0.022722500000000007,0.016947500000000004,301.05061969999997,625,0.02082500000000001,0.021815,0.05030499999999999,0.008724999999999983,0.03322749999999999,0.022722500000000007,0.016947500000000004,301.05061969999997,0.02082500000000001,0.021815,0.05030499999999999,0.008724999999999983,0.03322749999999999,0.022722500000000007,0.016947500000000004,301.05061969999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3076923076923077,128.0,1.0,1,2,15,15.0,1_LC08_018050_20130405_12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,107.52,1.0,0,0,,,1_LC08_018050_20130405_13
