"date","location","mission","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","mean_temp_degK_3","min_temp_degK_3","max_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","mean_temp_degK_5","min_temp_degK_5","max_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","mean_temp_degK_7","min_temp_degK_7","max_temp_degK_7","tot_precip_m_7","mean_wind_mps_7","precip_m_prev","air_temp_degK_prev","wind_speed_mps_prev","solar_rad_KJpm2_prev"
"1985-03-28","E","LANDSAT_5",0.0227339650632867,0.0128538014157523,0.0199854078826055,0.00840169713046167,-0.0298900010686371,-0.0483669924368576,0,1,25,0,113,120.68,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262,57679.474,293.981575012207,293.624019622803,294.270104090373,0.00713866172560529,0.993218507078751,101819.398,294.713247172038,293.624019622803,295.999084472656,0.00761175065144926,0.837781532794538,147361.976,295.102540061587,293.624019622803,296.424719492594,0.00864404349431425,0.708110189021259,0.00211333036418182,294.050601323446,0.951560135572135,20094.088
"1985-03-28","H","LANDSAT_5",0.033733572984162,0.0164385929510889,0.0282222978663453,0.012788859644112,-0.0309178292893322,-0.0489326001504676,0,1,24,0,36,42.75,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262,57679.474,293.981575012207,293.624019622803,294.270104090373,0.00713866172560529,0.993218507078751,101819.398,294.713247172038,293.624019622803,295.999084472656,0.00761175065144926,0.837781532794538,147361.976,295.102540061587,293.624019622803,296.424719492594,0.00864404349431425,0.708110189021259,0.00211333036418182,294.050601323446,0.951560135572135,20094.088
"1985-03-28","K","LANDSAT_5",0.0215646324924876,0.0123458134011611,0.0224818293924156,0.0116877947720916,-0.0284509569321787,-0.0101692075735129,0,1,26,0,110,117.423076923077,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262,57679.474,293.981575012207,293.624019622803,294.270104090373,0.00713866172560529,0.993218507078751,101819.398,294.713247172038,293.624019622803,295.999084472656,0.00761175065144926,0.837781532794538,147361.976,295.102540061587,293.624019622803,296.424719492594,0.00864404349431425,0.708110189021259,0.00211333036418182,294.050601323446,0.951560135572135,20094.088
"1985-03-28","L","LANDSAT_5",0.0227620962115607,0.0141513159339835,0.0250825200953283,0.0148373944443911,-0.0457129702533052,-0.0463872998190948,0,1,26,0,100,106.961538461538,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262,57679.474,293.981575012207,293.624019622803,294.270104090373,0.00713866172560529,0.993218507078751,101819.398,294.713247172038,293.624019622803,295.999084472656,0.00761175065144926,0.837781532794538,147361.976,295.102540061587,293.624019622803,296.424719492594,0.00864404349431425,0.708110189021259,0.00211333036418182,294.050601323446,0.951560135572135,20094.088
"1985-03-28","M","LANDSAT_5",0.0220018029915589,0.0116496437884336,0.0216328393221869,0.0110981541926653,-0.0270118140636539,-0.046952936697206,0,1,25,0,85,93.12,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262,57679.474,293.981575012207,293.624019622803,294.270104090373,0.00713866172560529,0.993218507078751,101819.398,294.713247172038,293.624019622803,295.999084472656,0.00761175065144926,0.837781532794538,147361.976,295.102540061587,293.624019622803,296.424719492594,0.00864404349431425,0.708110189021259,0.00211333036418182,294.050601323446,0.951560135572135,20094.088
"1985-03-28","O","LANDSAT_5",0.0323394333975417,0.0164493971537286,0.0279209968113284,0.0130309382130095,-0.0512584551473133,-0.0497809960970425,0.269230769230769,1,19,0,3,6.78947368421053,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262,57679.474,293.981575012207,293.624019622803,294.270104090373,0.00713866172560529,0.993218507078751,101819.398,294.713247172038,293.624019622803,295.999084472656,0.00761175065144926,0.837781532794538,147361.976,295.102540061587,293.624019622803,296.424719492594,0.00864404349431425,0.708110189021259,0.00211333036418182,294.050601323446,0.951560135572135,20094.088
"1985-03-28","P","LANDSAT_5",0.0246979699350699,0.0155654951970955,0.0233557254012327,0.012358836767733,-0.0303011384017355,-0.0486497973352518,0,1,25,0,12,19.28,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262,57679.474,293.981575012207,293.624019622803,294.270104090373,0.00713866172560529,0.993218507078751,101819.398,294.713247172038,293.624019622803,295.999084472656,0.00761175065144926,0.837781532794538,147361.976,295.102540061587,293.624019622803,296.424719492594,0.00864404349431425,0.708110189021259,0.00211333036418182,294.050601323446,0.951560135572135,20094.088
"1985-03-28","R","LANDSAT_5",0.0220440824899423,0.00986881801326587,0.0194013139284911,0.00794953822575625,-0.0284509569321787,-0.047801376390533,0,1,24,0,108,115.125,"1_2_LT05_018050_19850328",45,7,NA,105.70540115,55.11645262,57679.474,293.981575012207,293.624019622803,294.270104090373,0.00713866172560529,0.993218507078751,101819.398,294.713247172038,293.624019622803,295.999084472656,0.00761175065144926,0.837781532794538,147361.976,295.102540061587,293.624019622803,296.424719492594,0.00864404349431425,0.708110189021259,0.00211333036418182,294.050601323446,0.951560135572135,20094.088
"1985-04-13","B","LANDSAT_5",0.0281790028597694,0.0153935087404272,0.0261877963314567,0.0135963221697197,-0.042220615065766,-0.0446903391884732,0,1,25,0,189,196.2,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705,59740.766,293.565636528863,292.850176493327,294.084187189738,0.00863566658688342,0.79274570028333,95834.248,293.458245976766,292.678491592407,294.084187189738,0.0176545427153769,0.869415840360393,146058.216,294.073629379272,292.678491592407,295.641722361247,0.01774144032699,0.779888688931035,0.00208965389845162,294.084187189738,0.673515224685883,19778.568
"1985-04-13","C","LANDSAT_5",0.0268184283444986,0.0156515474725068,0.0297788836227948,0.0138658153688056,-0.0428369553537803,-0.0452560010647284,0,1,27,0,88,95.5555555555556,"1_2_LT05_018050_19850413",27,9,NA,95.7805652,57.94845705,59740.766,293.565636528863,292.850176493327,294.084187189738,0.00863566658688342,0.79274570028333,95834.248,293.458245976766,292.678491592407,294.084187189738,0.0176545427153769,0.869415840360393,146058.216,294.073629379272,292.678491592407,295.641722361247,0.01774144032699,0.779888688931035,0.00208965389845162,294.084187189738,0.673515224685883,19778.568
