"date","location","mission","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","max_temp_degK_3","min_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","max_temp_degK_5","min_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","max_temp_degK_7","min_temp_degK_7","tot_precip_m_7","mean_wind_mps_7"
"2020-09-28","Q","LANDSAT_7",0.0145275,0.0081475,0.01586125,0.0116675,0.00318374999999999,0.0017675,0,1,24,0,387,393.875,"2_LE07_018050_20200928",3,9,NA,116.11680022,54.83392496,68309.897875,295.881210327148,295.310066223145,0.0055547386406829,0.41920944743665,107172.6740625,295.980391184489,294.872502644857,0.0397703856227736,0.337474462323429,144518.376132812,295.980391184489,294.872502644857,0.0437745898959925,0.413400356353272
"2020-09-28","R","LANDSAT_7",0.0160675,0.009715,0.0194775,0.011475,0.00314249999999999,0.00173999999999999,0,1,23,0,275,282.565217391304,"2_LE07_018050_20200928",3,9,NA,116.11680022,54.83392496,68309.897875,295.881210327148,295.310066223145,0.0055547386406829,0.41920944743665,107172.6740625,295.980391184489,294.872502644857,0.0397703856227736,0.337474462323429,144518.376132812,295.980391184489,294.872502644857,0.0437745898959925,0.413400356353272
"2020-10-30","B","LANDSAT_7",0.019615,0.00889,0.0167275,0.011145,0.00561749999999999,0.00589249999999999,0.0833333333333333,1,19,0,16,21.4736842105263,"2_LE07_018050_20201030",35,9,NA,132.53653799,48.82089203,49131.52,294.32583173116,294.010783513387,0.0298577024299398,0.368271849081285,82501.3,295.282754262288,293.369068145752,0.0357442569741302,0.368196795141903,104589.404,295.282754262288,293.369068145752,0.0538313028931334,0.43534375273584
"2020-10-30","E","LANDSAT_7",0.01945,0.009495,0.0218975,0.0165075,0.00583749999999999,0.00308749999999999,0.16,1,19,0,66,73.1052631578947,"2_LE07_018050_20201030",35,9,NA,132.53653799,48.82089203,49131.52,294.32583173116,294.010783513387,0.0298577024299398,0.368271849081285,82501.3,295.282754262288,293.369068145752,0.0357442569741302,0.368196795141903,104589.404,295.282754262288,293.369068145752,0.0538313028931334,0.43534375273584
"2020-10-30","G","LANDSAT_7",0.0129325,0.003225,0.00611249999999999,0.00671749999999998,0.000227499999999992,0.000200000000000006,0,1,17,1,89,95.3529411764706,"2_LE07_018050_20201030",35,9,NA,132.53653799,48.82089203,49131.52,294.32583173116,294.010783513387,0.0298577024299398,0.368271849081285,82501.3,295.282754262288,293.369068145752,0.0357442569741302,0.368196795141903,104589.404,295.282754262288,293.369068145752,0.0538313028931334,0.43534375273584
"2020-10-30","I","LANDSAT_7",0.013565,0.00429750000000001,0.0113375,0.00627749999999999,0.000200000000000006,0.000172499999999992,0,1,25,0,123,131.04,"2_LE07_018050_20201030",35,9,NA,132.53653799,48.82089203,49131.52,294.32583173116,294.010783513387,0.0298577024299398,0.368271849081285,82501.3,295.282754262288,293.369068145752,0.0357442569741302,0.368196795141903,104589.404,295.282754262288,293.369068145752,0.0538313028931334,0.43534375273584
"2020-10-30","K","LANDSAT_7",0.01593,0.0044625,0.0138675,0.0111725,0.00295,0.000172499999999992,0,1,25,0,82,89.32,"2_LE07_018050_20201030",35,9,NA,132.53653799,48.82089203,49131.52,294.32583173116,294.010783513387,0.0298577024299398,0.368271849081285,82501.3,295.282754262288,293.369068145752,0.0357442569741302,0.368196795141903,104589.404,295.282754262288,293.369068145752,0.0538313028931334,0.43534375273584
"2020-10-30","L","LANDSAT_7",0.0178,0.0081475,0.02312125,0.0185975,0.00297749999999999,0.00306,0,1,12,2,130,135.166666666667,"2_LE07_018050_20201030",35,9,NA,132.53653799,48.82089203,49131.52,294.32583173116,294.010783513387,0.0298577024299398,0.368271849081285,82501.3,295.282754262288,293.369068145752,0.0357442569741302,0.368196795141903,104589.404,295.282754262288,293.369068145752,0.0538313028931334,0.43534375273584
"2020-10-30","M","LANDSAT_7",0.01624625,0.00677249999999998,0.0140325,0.01131,0.00297749999999999,0.000200000000000006,0,1,24,0,78,86.5,"2_LE07_018050_20201030",35,9,NA,132.53653799,48.82089203,49131.52,294.32583173116,294.010783513387,0.0298577024299398,0.368271849081285,82501.3,295.282754262288,293.369068145752,0.0357442569741302,0.368196795141903,104589.404,295.282754262288,293.369068145752,0.0538313028931334,0.43534375273584
"2020-10-30","P","LANDSAT_7",0.03375,0.0206325,0.0318525,0.0263525,0.0113375,0.00600249999999999,0.115384615384615,1,19,0,3,7.57894736842105,"2_LE07_018050_20201030",35,9,NA,132.53653799,48.82089203,49131.52,294.32583173116,294.010783513387,0.0298577024299398,0.368271849081285,82501.3,295.282754262288,293.369068145752,0.0357442569741302,0.368196795141903,104589.404,295.282754262288,293.369068145752,0.0538313028931334,0.43534375273584
