date,location,mission,est_secchi_stringent,est_secchi_verystringent,est_secchi_highsecchi,est_secchi_stepwise
1985-03-28,E,LANDSAT_5,4.382519721984863,2.9367456436157227,3.230484962463379,3.044954320173458
1985-03-28,H,LANDSAT_5,3.8200714588165283,3.1118571758270264,3.1609559059143066,3.3056254544314765
1985-03-28,K,LANDSAT_5,4.187281608581543,3.3202784061431885,3.3442211151123047,3.2701063810511464
1985-03-28,L,LANDSAT_5,4.280892848968506,3.180464506149292,3.3442211151123047,3.2433503958768615
1985-03-28,M,LANDSAT_5,4.187281608581543,2.9882888793945312,3.3442211151123047,3.3877783967388773
1985-03-28,O,LANDSAT_5,3.8200714588165283,3.1118571758270264,3.1609559059143066,3.267363631532504
1985-03-28,P,LANDSAT_5,4.284909725189209,3.228398084640503,3.044999599456787,3.030030403693962
1985-03-28,R,LANDSAT_5,4.19381046295166,2.636317491531372,3.2978603839874268,3.4813785589202464
1985-04-13,B,LANDSAT_5,3.964531660079956,3.2351343631744385,3.044999599456787,3.8372773775277924
1985-04-13,C,LANDSAT_5,3.7905173301696777,3.378530979156494,3.3442211151123047,3.693808247072713
1985-04-13,D,LANDSAT_5,3.676830768585205,3.369699478149414,3.3442211151123047,3.648132793675236
1985-04-13,E,LANDSAT_5,4.882256507873535,3.6750056743621826,3.3442211151123047,3.752583795580126
1985-04-13,F,LANDSAT_5,4.507060527801514,3.6143341064453125,3.3442211151123047,4.111003755055563
1985-04-13,G,LANDSAT_5,3.964531660079956,3.0482821464538574,3.1609559059143066,3.8697917894877083
1985-04-13,I,LANDSAT_5,4.076810836791992,3.415701150894165,3.044999599456787,3.687267902123194
1985-04-13,J,LANDSAT_5,3.964531660079956,3.3351762294769287,3.687412738800049,4.032677565292255
1985-04-13,K,LANDSAT_5,4.8886895179748535,3.296572208404541,3.8403334617614746,4.139161487615489
1985-04-13,L,LANDSAT_5,4.518366813659668,3.251864194869995,3.4384169578552246,4.2928108475108075
1985-04-13,M,LANDSAT_5,4.1822285652160645,3.6944737434387207,3.017521858215332,3.6017029679028196
1985-04-13,P,LANDSAT_5,4.852193355560303,2.7286295890808105,3.1609559059143066,3.934368486006429
1985-04-13,R,LANDSAT_5,5.087301254272461,3.4506349563598633,3.3442211151123047,3.892018722067027
1986-03-15,A,LANDSAT_5,4.240139961242676,3.2065980434417725,3.5129380226135254,4.207005359038881
1986-03-15,B,LANDSAT_5,4.240139961242676,3.2065980434417725,3.773993492126465,4.21640469767234
1986-03-15,C,LANDSAT_5,3.8098905086517334,3.2065980434417725,3.993880033493042,4.167642523238245
1986-03-15,D,LANDSAT_5,4.240139961242676,3.2065980434417725,3.773993492126465,4.2092349618132605
1986-03-15,E,LANDSAT_5,3.681928873062134,2.9755702018737793,3.5353214740753174,3.778389903701021
1986-03-15,F,LANDSAT_5,3.681928873062134,2.9755702018737793,3.5353214740753174,3.798583495154315
1986-03-15,G,LANDSAT_5,4.240139961242676,3.2065980434417725,3.773993492126465,4.243038584096611
1986-03-15,H,LANDSAT_5,3.681928873062134,2.9755702018737793,3.5353214740753174,3.749732779846774
1986-03-15,I,LANDSAT_5,3.681928873062134,2.929386615753174,3.5353214740753174,3.8190748653410034
1986-03-15,J,LANDSAT_5,4.240139961242676,3.349128246307373,3.3720765113830566,4.431215359293594
1986-03-15,K,LANDSAT_5,4.240139961242676,3.2065980434417725,3.5129380226135254,4.148852628543866
1986-03-15,L,LANDSAT_5,3.701596260070801,2.960407257080078,3.3720765113830566,4.0509392698107085
1986-03-15,M,LANDSAT_5,4.240139961242676,3.2065980434417725,3.5129380226135254,4.139452368870522
1986-03-15,N,LANDSAT_5,4.240139961242676,3.2065980434417725,3.5129380226135254,4.159210763678685
1986-03-15,O,LANDSAT_5,3.8098905086517334,3.2065980434417725,3.679797649383545,4.021070392106989
1986-03-15,P,LANDSAT_5,3.681928873062134,2.9755702018737793,3.5353214740753174,3.87838359983158
1986-03-15,Q,LANDSAT_5,4.240139961242676,3.2065980434417725,3.5129380226135254,4.156725925870161
1986-03-15,R,LANDSAT_5,4.240139961242676,3.349128246307373,3.773993492126465,4.237800837123119
1986-03-31,A,LANDSAT_5,3.519091844558716,3.5495638847351074,3.196579933166504,4.710268107044025
1986-03-31,B,LANDSAT_5,3.3621301651000977,3.6953606605529785,3.510662317276001,4.640885114953071
1986-03-31,C,LANDSAT_5,2.4351303577423096,3.42484188079834,3.288679361343384,4.0840365483723575
1986-03-31,D,LANDSAT_5,3.6459758281707764,3.5495638847351074,3.510662317276001,4.7826112084910815
1986-03-31,E,LANDSAT_5,3.3621301651000977,3.6757500171661377,3.422874927520752,4.30889170040975
1986-03-31,F,LANDSAT_5,2.9318807125091553,4.0345025062561035,3.0722477436065674,4.33157249931762
1986-03-31,G,LANDSAT_5,2.9318807125091553,4.0345025062561035,3.510662317276001,4.81988670726575
1986-03-31,H,LANDSAT_5,3.215726375579834,3.5495638847351074,3.0722477436065674,4.338243769834066
1986-03-31,I,LANDSAT_5,2.9318807125091553,3.451185703277588,3.288679361343384,4.147730814211842
1986-03-31,K,LANDSAT_5,2.9318807125091553,4.295849323272705,3.142662525177002,4.303584827342409
1986-03-31,L,LANDSAT_5,2.8589468002319336,3.3898675441741943,3.4418840408325195,4.219335122087122
1986-03-31,M,LANDSAT_5,2.4351303577423096,3.655869483947754,2.8586409091949463,4.255567198323847
1986-03-31,N,LANDSAT_5,2.865380048751831,3.593071460723877,3.5170702934265137,4.622433277713134
